,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,PRECTOTCORR,factor_temp,eficiencia,POT_SUMINISTRADA,TIPO_DIA
0,2017,1,1,0,0.0,0.0,-1.14,0.0,1.01307,92.67,0.0,NUBLADO
1,2017,1,1,1,0.0,0.0,-0.88,0.0,1.01294,92.67,0.0,NUBLADO
2,2017,1,1,2,0.0,0.0,-0.7,0.0,1.01285,92.67,0.0,NUBLADO
3,2017,1,1,3,0.0,0.0,-0.6,0.0,1.0128,92.67,0.0,NUBLADO
4,2017,1,1,4,0.0,0.0,-0.85,0.0,1.01293,92.67,0.0,NUBLADO
5,2017,1,1,5,0.0,0.0,-1.27,0.0,1.01314,92.67,0.0,NUBLADO
6,2017,1,1,6,0.0,0.0,-1.4,0.0,1.0132,92.67,0.0,NUBLADO
7,2017,1,1,7,6.93,0.48,-1.73,0.0,1.01337,92.67,25.084089995284714,NUBLADO
8,2017,1,1,8,54.23,0.28,-1.1,0.0,1.01305,92.67,195.68571888491817,NUBLADO
9,2017,1,1,9,129.16,0.33,0.33,0.0,1.01234,92.67,462.7938758102071,NUBLADO
10,2017,1,1,10,204.11,0.38,2.74,0.0,1.01113,92.67,722.6377967731623,NUBLADO
11,2017,1,1,11,246.98,0.39,7.12,0.0,1.00894,92.67,855.3277798165675,NUBLADO
12,2017,1,1,12,298.52,0.46,8.23,0.0,1.00839,93.22,1034.0919581379471,NUBLADO
13,2017,1,1,13,242.88,0.41,8.48,0.0,1.00826,93.12,839.3714618948296,NUBLADO
14,2017,1,1,14,177.79,0.37,8.19,0.0,1.00841,93.06,614.9442608753703,NUBLADO
15,2017,1,1,15,109.92,0.34,6.89,0.0,1.00906,92.67,381.1161675129895,NUBLADO
16,2017,1,1,16,29.82,0.29,3.61,0.0,1.0107,92.67,105.11773379695715,NUBLADO
17,2017,1,1,17,0.0,0.0,2.29,0.0,1.00521,93.0,0.0,NUBLADO
18,2017,1,1,18,0.0,0.0,1.92,0.0,1.01154,92.67,0.0,NUBLADO
19,2017,1,1,19,0.0,0.0,1.54,0.0,1.01173,92.67,0.0,NUBLADO
20,2017,1,1,20,0.0,0.0,0.94,0.0,1.01203,92.67,0.0,NUBLADO
21,2017,1,1,21,0.0,0.0,0.45,0.0,1.01228,92.67,0.0,NUBLADO
22,2017,1,1,22,0.0,0.0,0.06,0.0,1.01247,92.67,0.0,NUBLADO
23,2017,1,1,23,0.0,0.0,-0.47,0.0,1.01274,92.67,0.0,NUBLADO
24,2017,1,2,0,0.0,0.0,-0.99,0.0,1.013,92.67,0.0,NUBLADO
25,2017,1,2,1,0.0,0.0,-0.88,0.0,1.01294,92.67,0.0,NUBLADO
26,2017,1,2,2,0.0,0.0,-0.34,0.0,1.01267,92.67,0.0,NUBLADO
27,2017,1,2,3,0.0,0.0,-0.01,0.0,1.01251,92.67,0.0,NUBLADO
28,2017,1,2,4,0.0,0.0,0.23,0.0,1.01239,92.67,0.0,NUBLADO
29,2017,1,2,5,0.0,0.0,0.3,0.0,1.01235,92.67,0.0,NUBLADO
30,2017,1,2,6,0.0,0.0,0.43,0.0,1.01229,92.67,0.0,NUBLADO
31,2017,1,2,7,5.93,0.42,0.49,0.0,1.01226,92.67,21.231004552274854,NUBLADO
32,2017,1,2,8,48.28,0.25,1.15,0.0,1.01193,92.67,172.2911286012339,NUBLADO
33,2017,1,2,9,130.77,0.34,1.94,0.0,1.01153,92.67,464.83270156864313,NUBLADO
34,2017,1,2,10,208.02,0.38,3.27,0.0,1.01087,92.67,734.5357560895195,NUBLADO
35,2017,1,2,11,285.44,0.45,4.94,0.0,1.01003,92.67,999.489645193543,NUBLADO
36,2017,1,2,12,393.17,0.61,6.63,0.0,1.00919,92.67,1365.0054000505838,NUBLADO
37,2017,1,2,13,352.51,0.59,7.88,0.0,1.00856,92.93,1219.4889521982777,NUBLADO
38,2017,1,2,14,274.38,0.56,8.15,0.0,1.00843,92.9,947.5939313889118,NUBLADO
39,2017,1,2,15,158.04,0.49,7.79,0.0,1.00861,92.89,546.7489914286809,NUBLADO
40,2017,1,2,16,34.52,0.32,5.77,0.0,1.00962,92.67,120.36959531258975,NUBLADO
41,2017,1,2,17,0.0,0.0,4.12,0.0,1.01044,92.67,0.0,NUBLADO
42,2017,1,2,18,0.0,0.0,3.23,0.0,1.00521,93.0,0.0,NUBLADO
43,2017,1,2,19,0.0,0.0,2.68,0.0,1.01116,92.67,0.0,NUBLADO
44,2017,1,2,20,0.0,0.0,2.4,0.0,1.0113,92.67,0.0,NUBLADO
45,2017,1,2,21,0.0,0.0,2.32,0.0,1.01134,92.67,0.0,NUBLADO
46,2017,1,2,22,0.0,0.0,2.39,0.0,1.01131,92.67,0.0,NUBLADO
47,2017,1,2,23,0.0,0.0,2.48,0.0,1.01126,92.67,0.0,NUBLADO
48,2017,1,3,0,0.0,0.0,2.63,0.0,1.01119,92.67,0.0,NUBLADO
49,2017,1,3,1,0.0,0.0,2.69,0.0,1.01116,92.67,0.0,NUBLADO
50,2017,1,3,2,0.0,0.0,2.67,0.0,1.01117,92.67,0.0,NUBLADO
51,2017,1,3,3,0.0,0.0,2.62,0.0,1.01119,92.67,0.0,NUBLADO
52,2017,1,3,4,0.0,0.0,2.41,0.0,1.0113,92.67,0.0,NUBLADO
53,2017,1,3,5,0.0,0.0,2.19,0.0,1.01141,92.67,0.0,NUBLADO
54,2017,1,3,6,0.0,0.0,2.0,0.0,1.0115,92.67,0.0,NUBLADO
55,2017,1,3,7,7.32,0.52,1.89,0.0,1.01156,92.67,26.026145261863878,NUBLADO
56,2017,1,3,8,66.63,0.34,2.76,0.0,1.01112,92.67,235.8754962657388,NUBLADO
57,2017,1,3,9,182.87,0.46,4.37,0.01,1.01032,92.67,642.1759908974469,NUBLADO
58,2017,1,3,10,301.26,0.55,5.28,0.01,1.00986,92.67,1053.0774590897502,NUBLADO
59,2017,1,3,11,316.85,0.5,6.36,0.01,1.00932,92.67,1101.5400541450613,NUBLADO
60,2017,1,3,12,379.64,0.59,8.21,0.01,1.0084,93.41,1317.9117820196827,NUBLADO
61,2017,1,3,13,380.86,0.63,9.08,0.0,1.00796,93.37,1315.7028416158405,NUBLADO
62,2017,1,3,14,297.48,0.6,9.71,0.0,1.00765,93.36,1024.2385183007277,NUBLADO
63,2017,1,3,15,158.01,0.48,9.56,0.0,1.00772,93.37,544.5115191062266,NUBLADO
64,2017,1,3,16,41.5,0.38,6.97,0.0,1.00902,92.67,143.8309041305876,NUBLADO
65,2017,1,3,17,0.0,0.0,5.26,0.0,1.00987,92.67,0.0,NUBLADO
66,2017,1,3,18,0.0,0.0,4.64,0.0,1.01018,92.67,0.0,NUBLADO
67,2017,1,3,19,0.0,0.0,3.98,0.0,1.01051,92.67,0.0,NUBLADO
68,2017,1,3,20,0.0,0.0,3.33,0.0,1.01084,92.67,0.0,NUBLADO
69,2017,1,3,21,0.0,0.0,3.18,0.0,1.01091,92.67,0.0,NUBLADO
70,2017,1,3,22,0.0,0.0,3.47,0.0,1.01077,92.67,0.0,NUBLADO
71,2017,1,3,23,0.0,0.0,4.01,0.0,1.0105,92.67,0.0,NUBLADO
72,2017,1,4,0,0.0,0.0,4.55,0.0,1.01023,92.67,0.0,NUBLADO
73,2017,1,4,1,0.0,0.0,4.65,0.0,1.01018,92.67,0.0,NUBLADO
74,2017,1,4,2,0.0,0.0,4.79,0.0,1.01011,92.67,0.0,NUBLADO
75,2017,1,4,3,0.0,0.0,4.94,0.0,1.01003,92.67,0.0,NUBLADO
76,2017,1,4,4,0.0,0.0,4.94,0.0,1.01003,92.67,0.0,NUBLADO
77,2017,1,4,5,0.0,0.0,4.81,0.0,1.0101,92.67,0.0,NUBLADO
78,2017,1,4,6,0.0,0.0,4.62,0.0,1.01019,92.67,0.0,NUBLADO
79,2017,1,4,7,7.9,0.56,4.54,0.0,1.01023,92.67,27.7182137827367,NUBLADO
80,2017,1,4,8,77.51,0.4,5.35,0.0,1.00983,92.67,270.84779072632483,NUBLADO
81,2017,1,4,9,172.25,0.44,6.31,0.0,1.00935,92.67,598.9878689852202,NUBLADO
82,2017,1,4,10,236.62,0.44,8.86,0.0,1.00807,93.61,820.4430759493196,NUBLADO
83,2017,1,4,11,301.24,0.48,11.2,0.0,1.0069,93.56,1031.4443830753385,NUBLADO
84,2017,1,4,12,314.81,0.48,12.47,0.0,1.00627,93.46,1069.6901208160486,NUBLADO
85,2017,1,4,13,304.41,0.5,13.08,0.0,1.00596,93.39,1030.2932851808628,NUBLADO
86,2017,1,4,14,257.86,0.52,13.06,0.0,1.00597,93.35,872.4593100667423,NUBLADO
87,2017,1,4,15,176.16,0.54,12.24,0.0,1.00638,93.34,598.5163221618658,NUBLADO
88,2017,1,4,16,45.75,0.41,8.96,0.0,1.00802,93.33,158.07551420100725,NUBLADO
89,2017,1,4,17,0.0,0.0,6.42,0.0,1.00929,92.67,0.0,NUBLADO
90,2017,1,4,18,0.0,0.0,5.56,0.0,1.00972,92.67,0.0,NUBLADO
91,2017,1,4,19,0.0,0.0,4.82,0.0,1.01009,92.67,0.0,NUBLADO
92,2017,1,4,20,0.0,0.0,4.17,0.0,1.01042,92.67,0.0,NUBLADO
93,2017,1,4,21,0.0,0.0,3.56,0.0,1.01072,92.67,0.0,NUBLADO
94,2017,1,4,22,0.0,0.0,3.06,0.0,1.01097,92.67,0.0,NUBLADO
95,2017,1,4,23,0.0,0.0,3.07,0.0,1.01097,92.67,0.0,NUBLADO
96,2017,1,5,0,0.0,0.0,3.7,0.0,1.01065,92.67,0.0,NUBLADO
97,2017,1,5,1,0.0,0.0,4.09,0.0,1.01046,92.67,0.0,NUBLADO
98,2017,1,5,2,0.0,0.0,3.55,0.0,1.01073,92.67,0.0,NUBLADO
99,2017,1,5,3,0.0,0.0,2.98,0.01,1.01101,92.67,0.0,NUBLADO
100,2017,1,5,4,0.0,0.0,2.7,0.01,1.01115,92.67,0.0,NUBLADO
101,2017,1,5,5,0.0,0.0,2.58,0.0,1.01121,92.67,0.0,NUBLADO
102,2017,1,5,6,0.0,0.0,2.62,0.0,1.01119,92.67,0.0,NUBLADO
103,2017,1,5,7,6.89,0.48,2.73,0.01,1.01114,92.67,24.39492273496177,NUBLADO
